,Quantity_Ordered,Order_Value_USD,Delay_Days,Historical_Disruption_Count,Supplier_Reliability_Score,Dominant_Buyer_Flag,Available_Historical_Records,Data_Sharing_Consent,Federated_Round,Parameter_Change_Magnitude,Communication_Cost_MB,Energy_Consumption_Joules,Supply_Risk_Flag
Quantity_Ordered,1.0,0.021748492355875663,-0.005591610293349463,-0.03128578576519124,0.00784791121310085,-0.03715242647416183,-0.006790595628097906,-0.022367673969968475,0.005284917078053196,-0.023105602947996913,0.07870124531927426,-0.06683223234876211,0.01891730370084509
Order_Value_USD,0.021748492355875663,1.0,0.03067610861972151,-0.009327161415918396,-0.028391480291552033,-0.0006170866211768776,-0.033482041913770064,0.012527816354938826,0.014533603702132095,0.030537240960566127,-0.04224550275764927,-0.01573704680491,-0.005562320511622514
Delay_Days,-0.005591610293349463,0.03067610861972151,1.0,-0.0203505612540538,-0.032036836831474,-0.048661214391549315,0.027564729290721013,-0.007183476183839805,-0.050619492926986455,0.019855080986810447,-0.06949837671467325,0.06227250371832862,0.6626294802877709
Historical_Disruption_Count,-0.03128578576519124,-0.009327161415918396,-0.0203505612540538,1.0,-0.006598010636442449,-0.032692439047488725,-0.011687741076969448,0.004908375154814755,-0.015629294818818716,-0.02827253874422126,0.0010675170263152016,0.016154312043128442,-0.018498810378911202
Supplier_Reliability_Score,0.00784791121310085,-0.028391480291552033,-0.032036836831474,-0.006598010636442449,1.0,-0.0412799082520398,0.0012360453411812238,0.028121874354615124,0.0073973626358599925,0.06146689537188946,0.02549632018749507,-0.00816165949117436,0.047285063516318934
Dominant_Buyer_Flag,-0.03715242647416183,-0.0006170866211768776,-0.048661214391549315,-0.032692439047488725,-0.0412799082520398,1.0,-0.0008776118741975715,-0.018040773499504694,0.01607868886085391,0.005397242193285183,-0.056869656342759735,0.005249930483616021,-0.031010896450594568
Available_Historical_Records,-0.006790595628097906,-0.033482041913770064,0.027564729290721013,-0.011687741076969448,0.0012360453411812238,-0.0008776118741975715,1.0,0.02495481390425971,-0.03019641064340299,-0.024885277146501177,-0.007488858334951965,-0.02273726138062478,0.026172098518294253
Data_Sharing_Consent,-0.022367673969968475,0.012527816354938826,-0.007183476183839805,0.004908375154814755,0.028121874354615124,-0.018040773499504694,0.02495481390425971,1.0,0.06558145302806347,-0.039191834471631375,-0.0075284291889915,0.050815440635080394,-0.008938369963719562
Federated_Round,0.005284917078053196,0.014533603702132095,-0.050619492926986455,-0.015629294818818716,0.0073973626358599925,0.01607868886085391,-0.03019641064340299,0.06558145302806347,1.0,-0.05290899215912232,0.021357555733926916,0.04417765842795553,-0.03004854973297239
Parameter_Change_Magnitude,-0.023105602947996913,0.030537240960566127,0.019855080986810447,-0.02827253874422126,0.06146689537188946,0.005397242193285183,-0.024885277146501177,-0.039191834471631375,-0.05290899215912232,1.0,0.07447331181260246,-0.035282753849166446,0.019000555575751213
Communication_Cost_MB,0.07870124531927426,-0.04224550275764927,-0.06949837671467325,0.0010675170263152016,0.02549632018749507,-0.056869656342759735,-0.007488858334951965,-0.0075284291889915,0.021357555733926916,0.07447331181260246,1.0,-0.05284739541866585,-0.024963178539184876
Energy_Consumption_Joules,-0.06683223234876211,-0.01573704680491,0.06227250371832862,0.016154312043128442,-0.00816165949117436,0.005249930483616021,-0.02273726138062478,0.050815440635080394,0.04417765842795553,-0.035282753849166446,-0.05284739541866585,1.0,0.041935352783646726
Supply_Risk_Flag,0.01891730370084509,-0.005562320511622514,0.6626294802877709,-0.018498810378911202,0.047285063516318934,-0.031010896450594568,0.026172098518294253,-0.008938369963719562,-0.03004854973297239,0.019000555575751213,-0.024963178539184876,0.041935352783646726,1.0
